District,Language,School Year,Students,ELLs
Newington School District                              ,Marathi                                           ,2011-12,<=5,<=5
Newington School District                              ,Pashto                                            ,2011-12,<=5,<=5
Newington School District                              ,Punjabi                                           ,2011-12,<=5,<=5
Newington School District                              ,Pushto                                            ,2011-12,<=5,<=5
Newington School District                              ,Rumanian                                          ,2011-12,<=5,<=5
Newington School District                              ,Russian                                           ,2011-12,32,8
Newington School District                              ,Serbo-Croatian                                    ,2011-12,<=5,<=5
Newington School District                              ,Somali                                            ,2011-12,<=5,<=5
Newington School District                              ,Swahili                                           ,2011-12,<=5,<=5
Newington School District                              ,Pilipino (Filipino)                               ,2011-12,11,<=5
Newington School District                              ,Tamil                                             ,2011-12,6,<=5
Newington School District                              ,Telugu                                            ,2011-12,11,<=5
Newington School District                              ,Thai                                              ,2011-12,<=5,<=5
Newington School District                              ,Turkish                                           ,2011-12,<=5,<=5
Newington School District                              ,Ukrainian                                         ,2011-12,16,6
Newington School District                              ,Urdu                                              ,2011-12,27,<=5
Newington School District                              ,Vietnamese                                        ,2011-12,43,16
Newington School District                              ,Igbo                                              ,2011-12,<=5,<=5
Newington School District                              ,Nepali                                            ,2011-12,<=5,<=5
Newington School District                              ,Bangla                                            ,2011-12,<=5,<=5
Newington School District                              ,Berber                                            ,2011-12,<=5,<=5
Newington School District                              ,Cantonese                                         ,2011-12,10,<=5
Newington School District                              ,Cebuano                                           ,2011-12,<=5,<=5
Newington School District                              ,Mandarin                                          ,2011-12,19,<=5
Newington School District                              ,Mongolian                                         ,2011-12,<=5,<=5
Newington School District                              ,Persian                                           ,2011-12,<=5,<=5
Newington School District                              ,Patwa                                             ,2011-12,<=5,<=5
Newington School District                              ,Tagalog                                           ,2011-12,11,<=5
Newington School District                              ,Talango                                           ,2011-12,<=5,<=5
Newington School District                              ,Guyanese Creole                                   ,2011-12,<=5,<=5
New London School District                             ,Spanish                                           ,2011-12,690,564
New London School District                             ,Portuguese                                        ,2011-12,<=5,<=5
New London School District                             ,Greek                                             ,2011-12,<=5,<=5
New London School District                             ,Albanian                                          ,2011-12,<=5,<=5
New London School District                             ,Arabic                                            ,2011-12,<=5,<=5
New London School District                             ,Danish                                            ,2011-12,<=5,<=5
New London School District                             ,French                                            ,2011-12,6,<=5
New London School District                             ,German                                            ,2011-12,<=5,<=5
New London School District                             ,Gujarati                                          ,2011-12,<=5,<=5
New London School District                             ,Creole-Haitian                                    ,2011-12,72,54
New London School District                             ,Hindi                                             ,2011-12,<=5,<=5
New London School District                             ,Ilongot                                           ,2011-12,<=5,<=5
New London School District                             ,Korean                                            ,2011-12,<=5,<=5
New London School District                             ,Akan                                              ,2011-12,<=5,<=5
New London School District                             ,Russian                                           ,2011-12,<=5,<=5
New London School District                             ,Urdu                                              ,2011-12,<=5,<=5
New London School District                             ,Yoruba                                            ,2011-12,<=5,<=5
New London School District                             ,Vietnamese                                        ,2011-12,<=5,<=5
New London School District                             ,Creole-Cape Verdean                               ,2011-12,<=5,<=5
New London School District                             ,Nepali                                            ,2011-12,<=5,<=5
New London School District                             ,Bangla                                            ,2011-12,<=5,<=5
New London School District                             ,Bikol                                             ,2011-12,<=5,<=5
New London School District                             ,Cantonese                                         ,2011-12,<=5,<=5
New London School District                             ,Chuukese                                          ,2011-12,<=5,<=5
New London School District                             ,Mandarin                                          ,2011-12,<=5,<=5
New London School District                             ,Tibetan                                           ,2011-12,<=5,<=5
New London School District                             ,Patois                                            ,2011-12,<=5,<=5
New London School District                             ,Talango                                           ,2011-12,<=5,<=5
New London School District                             ,Guyanese Creole                                   ,2011-12,<=5,<=5
New Milford School District                            ,Spanish                                           ,2011-12,160,80
New Milford School District                            ,Portuguese                                        ,2011-12,52,19
New Milford School District                            ,Lao                                               ,2011-12,<=5,<=5
New Milford School District                            ,Khmer(Cambodian)                                  ,2011-12,<=5,<=5
New Milford School District                            ,Italian                                           ,2011-12,<=5,<=5
New Milford School District                            ,Polish                                            ,2011-12,<=5,<=5
New Milford School District                            ,Afrikaans                                         ,2011-12,<=5,<=5
New Milford School District                            ,Albanian                                          ,2011-12,6,<=5
New Milford School District                            ,Arabic                                            ,2011-12,12,8
New Milford School District                            ,Bengali                                           ,2011-12,12,<=5
New Milford School District                            ,Bulgarian                                         ,2011-12,<=5,<=5
New Milford School District                            ,Farsi                                             ,2011-12,<=5,<=5
New Milford School District                            ,French                                            ,2011-12,<=5,<=5
New Milford School District                            ,German                                            ,2011-12,<=5,<=5
New Milford School District                            ,Gujarati                                          ,2011-12,<=5,<=5
New Milford School District                            ,Hindi                                             ,2011-12,<=5,<=5
New Milford School District                            ,Hungarian                                         ,2011-12,<=5,<=5
New Milford School District                            ,Kongo                                             ,2011-12,<=5,<=5
New Milford School District                            ,Korean                                            ,2011-12,<=5,<=5
New Milford School District                            ,Malayalam                                         ,2011-12,<=5,<=5
New Milford School District                            ,Marathi                                           ,2011-12,<=5,<=5
New Milford School District                            ,Pashto                                            ,2011-12,<=5,<=5
New Milford School District                            ,Punjabi                                           ,2011-12,6,<=5
New Milford School District                            ,Rumanian                                          ,2011-12,<=5,<=5
New Milford School District                            ,Russian                                           ,2011-12,<=5,<=5
New Milford School District                            ,Serbo-Croatian                                    ,2011-12,<=5,<=5
New Milford School District                            ,Slovak                                            ,2011-12,<=5,<=5
New Milford School District                            ,Pilipino (Filipino)                               ,2011-12,<=5,<=5
New Milford School District                            ,Tamil                                             ,2011-12,<=5,<=5
New Milford School District                            ,Thai                                              ,2011-12,<=5,<=5
New Milford School District                            ,Turkish                                           ,2011-12,<=5,<=5
New Milford School District                            ,Ukrainian                                         ,2011-12,<=5,<=5
New Milford School District                            ,Vietnamese                                        ,2011-12,<=5,<=5
New Milford School District                            ,Bangla                                            ,2011-12,<=5,<=5
New Milford School District                            ,Burmese                                           ,2011-12,<=5,<=5
New Milford School District                            ,Catalan                                           ,2011-12,<=5,<=5
New Milford School District                            ,Mandarin                                          ,2011-12,28,10
New Milford School District                            ,Persian                                           ,2011-12,<=5,<=5
New Milford School District                            ,Tagalog                                           ,2011-12,<=5,<=5
Newtown School District                                ,Spanish                                           ,2011-12,21,6
Newtown School District                                ,Portuguese                                        ,2011-12,9,<=5
Newtown School District                                ,Khmer(Cambodian)                                  ,2011-12,<=5,<=5
Newtown School District                                ,Polish                                            ,2011-12,<=5,<=5
Newtown School District                                ,Greek                                             ,2011-12,<=5,<=5
Newtown School District                                ,Albanian                                          ,2011-12,12,<=5
Newtown School District                                ,Arabic                                            ,2011-12,<=5,<=5
Newtown School District                                ,Bengali                                           ,2011-12,<=5,<=5
Newtown School District                                ,Dutch                                             ,2011-12,<=5,<=5
Newtown School District                                ,Estonian                                          ,2011-12,<=5,<=5
Newtown School District                                ,Farsi                                             ,2011-12,<=5,<=5
Newtown School District                                ,French                                            ,2011-12,<=5,<=5
Newtown School District                                ,German                                            ,2011-12,<=5,<=5
Newtown School District                                ,Gujarati                                          ,2011-12,<=5,<=5
Newtown School District                                ,Hungarian                                         ,2011-12,<=5,<=5
Newtown School District                                ,Korean                                            ,2011-12,<=5,<=5
Newtown School District                                ,Hebrew                                            ,2011-12,<=5,<=5
Newtown School District                                ,Marathi                                           ,2011-12,<=5,<=5
Newtown School District                                ,Punjabi                                           ,2011-12,<=5,<=5
Newtown School District                                ,Pushto                                            ,2011-12,<=5,<=5
Newtown School District                                ,Rumanian                                          ,2011-12,<=5,<=5
Newtown School District                                ,Russian                                           ,2011-12,<=5,<=5
Newtown School District                                ,Tamil                                             ,2011-12,<=5,<=5
Newtown School District                                ,Thai                                              ,2011-12,<=5,<=5
Newtown School District                                ,Ukrainian                                         ,2011-12,<=5,<=5
Newtown School District                                ,Urdu                                              ,2011-12,<=5,<=5
Newtown School District                                ,Bangla                                            ,2011-12,6,<=5
Newtown School District                                ,Cantonese                                         ,2011-12,8,<=5
Newtown School District                                ,Catalan                                           ,2011-12,<=5,<=5
Newtown School District                                ,Mandarin                                          ,2011-12,<=5,<=5
Newtown School District                                ,Mongolian                                         ,2011-12,<=5,<=5
Norfolk School District                                ,Hungarian                                         ,2011-12,<=5,<=5
North Branford School District                         ,Spanish                                           ,2011-12,19,9
North Branford School District                         ,Portuguese                                        ,2011-12,<=5,<=5
North Branford School District                         ,Khmer(Cambodian)                                  ,2011-12,<=5,<=5
North Branford School District                         ,Italian                                           ,2011-12,<=5,<=5
North Branford School District                         ,Polish                                            ,2011-12,7,<=5
North Branford School District                         ,Greek                                             ,2011-12,<=5,<=5
North Branford School District                         ,Albanian                                          ,2011-12,<=5,<=5
North Branford School District                         ,Arabic                                            ,2011-12,9,<=5
North Branford School District                         ,French                                            ,2011-12,<=5,<=5
North Branford School District                         ,Gujarati                                          ,2011-12,<=5,<=5
North Branford School District                         ,Korean                                            ,2011-12,<=5,<=5
North Branford School District                         ,Russian                                           ,2011-12,<=5,<=5
North Branford School District                         ,Serbo-Croatian                                    ,2011-12,<=5,<=5
North Branford School District                         ,Pilipino (Filipino)                               ,2011-12,<=5,<=5
North Branford School District                         ,Urdu                                              ,2011-12,<=5,<=5
North Branford School District                         ,Cantonese                                         ,2011-12,<=5,<=5
North Branford School District                         ,Cebuano                                           ,2011-12,<=5,<=5
North Branford School District                         ,Kurdish                                           ,2011-12,<=5,<=5
North Branford School District                         ,Mandarin                                          ,2011-12,<=5,<=5
North Branford School District                         ,Tibetan                                           ,2011-12,<=5,<=5
North Canaan School District                           ,Spanish                                           ,2011-12,15,<=5
North Canaan School District                           ,Ukrainian                                         ,2011-12,<=5,<=5
North Canaan School District                           ,Cantonese                                         ,2011-12,<=5,<=5
North Haven School District                            ,Spanish                                           ,2011-12,43,17
North Haven School District                            ,Portuguese                                        ,2011-12,<=5,<=5
North Haven School District                            ,Lao                                               ,2011-12,7,<=5
North Haven School District                            ,Khmer(Cambodian)                                  ,2011-12,6,<=5
North Haven School District                            ,Italian                                           ,2011-12,9,<=5
North Haven School District                            ,Polish                                            ,2011-12,<=5,<=5
North Haven School District                            ,Albanian                                          ,2011-12,<=5,<=5
North Haven School District                            ,Arabic                                            ,2011-12,19,<=5
North Haven School District                            ,Farsi                                             ,2011-12,<=5,<=5
North Haven School District                            ,French                                            ,2011-12,<=5,<=5
North Haven School District                            ,German                                            ,2011-12,<=5,<=5
North Haven School District                            ,Gujarati                                          ,2011-12,12,<=5
North Haven School District                            ,Hindi                                             ,2011-12,6,<=5
North Haven School District                            ,Japanese                                          ,2011-12,<=5,<=5
North Haven School District                            ,Korean                                            ,2011-12,21,6
North Haven School District                            ,Malayalam                                         ,2011-12,<=5,<=5
North Haven School District                            ,Punjabi                                           ,2011-12,6,<=5
North Haven School District                            ,Russian                                           ,2011-12,<=5,<=5
North Haven School District                            ,Swedish                                           ,2011-12,<=5,<=5
North Haven School District                            ,Pilipino (Filipino)                               ,2011-12,<=5,<=5
North Haven School District                            ,Tamil                                             ,2011-12,<=5,<=5
North Haven School District                            ,Thai                                              ,2011-12,<=5,<=5
North Haven School District                            ,Turkish                                           ,2011-12,<=5,<=5
North Haven School District                            ,Ukrainian                                         ,2011-12,<=5,<=5
North Haven School District                            ,Urdu                                              ,2011-12,15,<=5
North Haven School District                            ,Vietnamese                                        ,2011-12,22,<=5
North Haven School District                            ,Cantonese                                         ,2011-12,16,<=5
North Haven School District                            ,Mandarin                                          ,2011-12,27,<=5
North Haven School District                            ,Tagalog                                           ,2011-12,<=5,<=5
North Stonington School District                       ,Spanish                                           ,2011-12,<=5,<=5
North Stonington School District                       ,Lao                                               ,2011-12,<=5,<=5
North Stonington School District                       ,Gujarati                                          ,2011-12,<=5,<=5
North Stonington School District                       ,Cantonese                                         ,2011-12,<=5,<=5
North Stonington School District                       ,Mandarin                                          ,2011-12,<=5,<=5
Norwalk School District                                ,Spanish                                           ,2011-12,3104,1060
Norwalk School District                                ,Portuguese                                        ,2011-12,42,<=5
Norwalk School District                                ,Lao                                               ,2011-12,<=5,<=5
Norwalk School District                                ,Italian                                           ,2011-12,20,<=5
Norwalk School District                                ,Polish                                            ,2011-12,73,13
Norwalk School District                                ,Greek                                             ,2011-12,74,8
Norwalk School District                                ,Albanian                                          ,2011-12,15,<=5
Norwalk School District                                ,Arabic                                            ,2011-12,12,<=5
Norwalk School District                                ,Bengali                                           ,2011-12,29,6
Norwalk School District                                ,Bulgarian                                         ,2011-12,<=5,<=5
Norwalk School District                                ,Czech                                             ,2011-12,<=5,<=5
Norwalk School District                                ,Danish                                            ,2011-12,<=5,<=5
Norwalk School District                                ,Dutch                                             ,2011-12,<=5,<=5
Norwalk School District                                ,Eskimo                                            ,2011-12,<=5,<=5
Norwalk School District                                ,Estonian                                          ,2011-12,<=5,<=5
Norwalk School District                                ,Farsi                                             ,2011-12,<=5,<=5
Norwalk School District                                ,French                                            ,2011-12,37,12
Norwalk School District                                ,German                                            ,2011-12,7,<=5
Norwalk School District                                ,Gujarati                                          ,2011-12,31,<=5
Norwalk School District                                ,Creole-Haitian                                    ,2011-12,244,101
Norwalk School District                                ,Hindi                                             ,2011-12,38,7
Norwalk School District                                ,Hungarian                                         ,2011-12,<=5,<=5
Norwalk School District                                ,Japanese                                          ,2011-12,<=5,<=5
Norwalk School District                                ,Kannada                                           ,2011-12,<=5,<=5
Norwalk School District                                ,Korean                                            ,2011-12,7,<=5
Norwalk School District                                ,Hebrew                                            ,2011-12,<=5,<=5
Norwalk School District                                ,Lithuanian                                        ,2011-12,<=5,<=5
Norwalk School District                                ,Malay(Indonesian)                                 ,2011-12,<=5,<=5
Norwalk School District                                ,Malayalam                                         ,2011-12,19,<=5
Norwalk School District                                ,Marathi                                           ,2011-12,<=5,<=5
Norwalk School District                                ,Pashto                                            ,2011-12,<=5,<=5
Norwalk School District                                ,Punjabi                                           ,2011-12,17,<=5
Norwalk School District                                ,Pushto                                            ,2011-12,<=5,<=5
Norwalk School District                                ,Rumanian                                          ,2011-12,<=5,<=5
Norwalk School District                                ,Russian                                           ,2011-12,25,8
Norwalk School District                                ,Serbo-Croatian                                    ,2011-12,<=5,<=5
Norwalk School District                                ,Singhalese                                        ,2011-12,<=5,<=5
Norwalk School District                                ,Slovak                                            ,2011-12,<=5,<=5
Norwalk School District                                ,Swedish                                           ,2011-12,<=5,<=5
Norwalk School District                                ,Pilipino (Filipino)                               ,2011-12,18,<=5
Norwalk School District                                ,Tamil                                             ,2011-12,14,<=5
Norwalk School District                                ,Telugu                                            ,2011-12,14,<=5
Norwalk School District                                ,Thai                                              ,2011-12,<=5,<=5
Norwalk School District                                ,Tigrinya                                          ,2011-12,<=5,<=5
Norwalk School District                                ,Turkish                                           ,2011-12,<=5,<=5
Norwalk School District                                ,Ukrainian                                         ,2011-12,13,<=5
Norwalk School District                                ,Urdu                                              ,2011-12,12,<=5
Norwalk School District                                ,Vietnamese                                        ,2011-12,<=5,<=5
Norwalk School District                                ,Igbo                                              ,2011-12,<=5,<=5
Norwalk School District                                ,Creole-Cape Verdean                               ,2011-12,<=5,<=5
Norwalk School District                                ,Nepali                                            ,2011-12,6,<=5
Norwalk School District                                ,Bangla                                            ,2011-12,10,<=5
Norwalk School District                                ,Burmese                                           ,2011-12,<=5,<=5
Norwalk School District                                ,Cantonese                                         ,2011-12,30,10
Norwalk School District                                ,Ewe                                               ,2011-12,<=5,<=5
Norwalk School District                                ,Fante                                             ,2011-12,<=5,<=5
Norwalk School District                                ,Kazakh                                            ,2011-12,<=5,<=5
Norwalk School District                                ,Kurdish                                           ,2011-12,<=5,<=5
Norwalk School District                                ,Mandarin                                          ,2011-12,16,9
Norwalk School District                                ,Tulu                                              ,2011-12,<=5,<=5
Norwalk School District                                ,Visayan                                           ,2011-12,<=5,<=5
Norwalk School District                                ,Wolof                                             ,2011-12,<=5,<=5
Norwalk School District                                ,Epernot                                           ,2011-12,<=5,<=5
Norwalk School District                                ,Creole-Jaotoam                                    ,2011-12,<=5,<=5
Norwalk School District                                ,Serlian                                           ,2011-12,<=5,<=5
Norwalk School District                                ,Sinhala                                           ,2011-12,<=5,<=5
Norwalk School District                                ,Tagalog                                           ,2011-12,15,<=5
Norwalk School District                                ,Talango                                           ,2011-12,<=5,<=5
Norwalk School District                                ,Fang                                              ,2011-12,<=5,<=5
Norwich School District                                ,Spanish                                           ,2011-12,414,235
Norwich School District                                ,Portuguese                                        ,2011-12,16,7
Norwich School District                                ,Lao                                               ,2011-12,<=5,<=5
Norwich School District                                ,Khmer(Cambodian)                                  ,2011-12,<=5,<=5
Norwich School District                                ,Polish                                            ,2011-12,7,<=5
Norwich School District                                ,Greek                                             ,2011-12,<=5,<=5
Norwich School District                                ,Afrikaans                                         ,2011-12,<=5,<=5
Norwich School District                                ,Albanian                                          ,2011-12,8,<=5
Norwich School District                                ,Arabic                                            ,2011-12,<=5,<=5
Norwich School District                                ,Bengali                                           ,2011-12,7,<=5
Norwich School District                                ,Bulgarian                                         ,2011-12,<=5,<=5
Norwich School District                                ,French                                            ,2011-12,<=5,<=5
Norwich School District                                ,Gujarati                                          ,2011-12,14,<=5
Norwich School District                                ,Creole-Haitian                                    ,2011-12,151,84
Norwich School District                                ,Hindi                                             ,2011-12,<=5,<=5
Norwich School District                                ,Japanese                                          ,2011-12,<=5,<=5
Norwich School District                                ,Kannada                                           ,2011-12,<=5,<=5
Norwich School District                                ,Korean                                            ,2011-12,<=5,<=5
Norwich School District                                ,Malayalam                                         ,2011-12,<=5,<=5
Norwich School District                                ,Pilipino (Filipino)                               ,2011-12,6,<=5
Norwich School District                                ,Telugu                                            ,2011-12,<=5,<=5
Norwich School District                                ,Thai                                              ,2011-12,<=5,<=5
Norwich School District                                ,Turkish                                           ,2011-12,<=5,<=5
Norwich School District                                ,Urdu                                              ,2011-12,7,<=5
Norwich School District                                ,Vietnamese                                        ,2011-12,<=5,<=5
Norwich School District                                ,Creole-Cape Verdean                               ,2011-12,33,21
Norwich School District                                ,Nepali                                            ,2011-12,<=5,<=5
Norwich School District                                ,Bangla                                            ,2011-12,11,<=5
Norwich School District                                ,Burmese                                           ,2011-12,<=5,<=5
Norwich School District                                ,Cantonese                                         ,2011-12,120,45
Norwich School District                                ,Chuukese                                          ,2011-12,<=5,<=5
Norwich School District                                ,Embu                                              ,2011-12,<=5,<=5
Norwich School District                                ,Mandarin                                          ,2011-12,59,18
Norwich School District                                ,Tibetan                                           ,2011-12,<=5,<=5
Norwich School District                                ,Patois                                            ,2011-12,<=5,<=5
Norwich School District                                ,Tagalog                                           ,2011-12,<=5,<=5
Old Saybrook School District                           ,Spanish                                           ,2011-12,32,17
Old Saybrook School District                           ,Portuguese                                        ,2011-12,<=5,<=5
Old Saybrook School District                           ,Lao                                               ,2011-12,<=5,<=5
Old Saybrook School District                           ,Gujarati                                          ,2011-12,7,<=5
Old Saybrook School District                           ,Korean                                            ,2011-12,<=5,<=5
Old Saybrook School District                           ,Lithuanian                                        ,2011-12,<=5,<=5
Old Saybrook School District                           ,Rumanian                                          ,2011-12,<=5,<=5
Old Saybrook School District                           ,Russian                                           ,2011-12,<=5,<=5
Old Saybrook School District                           ,Serbo-Croatian                                    ,2011-12,8,<=5
Old Saybrook School District                           ,Swedish                                           ,2011-12,<=5,<=5
Old Saybrook School District                           ,Turkish                                           ,2011-12,<=5,<=5
Old Saybrook School District                           ,Ukrainian                                         ,2011-12,<=5,<=5
Old Saybrook School District                           ,Urdu                                              ,2011-12,<=5,<=5
Old Saybrook School District                           ,Vietnamese                                        ,2011-12,<=5,<=5
Old Saybrook School District                           ,Cantonese                                         ,2011-12,<=5,<=5
Old Saybrook School District                           ,Catalan                                           ,2011-12,<=5,<=5
Old Saybrook School District                           ,Ilocano                                           ,2011-12,<=5,<=5
Old Saybrook School District                           ,Mandarin                                          ,2011-12,<=5,<=5
Old Saybrook School District                           ,Tibetan                                           ,2011-12,8,<=5
Old Saybrook School District                           ,Tagalog                                           ,2011-12,<=5,<=5
Orange School District                                 ,Spanish                                           ,2011-12,<=5,<=5
Orange School District                                 ,Portuguese                                        ,2011-12,<=5,<=5
Orange School District                                 ,Italian                                           ,2011-12,<=5,<=5
Orange School District                                 ,Polish                                            ,2011-12,<=5,<=5
Orange School District                                 ,Albanian                                          ,2011-12,<=5,<=5
Orange School District                                 ,Arabic                                            ,2011-12,6,<=5
Orange School District                                 ,Bengali                                           ,2011-12,<=5,<=5
Orange School District                                 ,Finnish                                           ,2011-12,<=5,<=5
Orange School District                                 ,Hindi                                             ,2011-12,<=5,<=5
Orange School District                                 ,Konkani                                           ,2011-12,<=5,<=5
Orange School District                                 ,Korean                                            ,2011-12,<=5,<=5
Orange School District                                 ,Hebrew                                            ,2011-12,<=5,<=5
Orange School District                                 ,Malayalam                                         ,2011-12,<=5,<=5
Orange School District                                 ,Russian                                           ,2011-12,<=5,<=5
Orange School District                                 ,Serbo-Croatian                                    ,2011-12,<=5,<=5
Orange School District                                 ,Telugu                                            ,2011-12,<=5,<=5
Orange School District                                 ,Turkish                                           ,2011-12,<=5,<=5
Orange School District                                 ,Ukrainian                                         ,2011-12,<=5,<=5
Orange School District                                 ,Urdu                                              ,2011-12,<=5,<=5
Orange School District                                 ,Vietnamese                                        ,2011-12,<=5,<=5
Orange School District                                 ,Nepali                                            ,2011-12,<=5,<=5
Orange School District                                 ,Cantonese                                         ,2011-12,<=5,<=5
Orange School District                                 ,Mandarin                                          ,2011-12,18,<=5
Orange School District                                 ,Mongolian                                         ,2011-12,<=5,<=5
Orange School District                                 ,Guyrah                                            ,2011-12,<=5,<=5
Oxford School District                                 ,Spanish                                           ,2011-12,20,<=5
Oxford School District                                 ,Portuguese                                        ,2011-12,12,<=5
Oxford School District                                 ,Lao                                               ,2011-12,<=5,<=5
Oxford School District                                 ,Italian                                           ,2011-12,<=5,<=5
Oxford School District                                 ,Polish                                            ,2011-12,12,<=5
Oxford School District                                 ,Greek                                             ,2011-12,<=5,<=5
Oxford School District                                 ,Albanian                                          ,2011-12,<=5,<=5
Oxford School District                                 ,Arabic                                            ,2011-12,<=5,<=5
Oxford School District                                 ,Dutch                                             ,2011-12,<=5,<=5
Oxford School District                                 ,Farsi                                             ,2011-12,<=5,<=5
Oxford School District                                 ,Gujarati                                          ,2011-12,<=5,<=5
Oxford School District                                 ,Creole-Haitian                                    ,2011-12,<=5,<=5
Oxford School District                                 ,Hungarian                                         ,2011-12,<=5,<=5
Oxford School District                                 ,Kannada                                           ,2011-12,<=5,<=5
Oxford School District                                 ,Korean                                            ,2011-12,<=5,<=5
Oxford School District                                 ,Russian                                           ,2011-12,7,<=5
Oxford School District                                 ,Slovak                                            ,2011-12,<=5,<=5
Oxford School District                                 ,Swedish                                           ,2011-12,<=5,<=5
Oxford School District                                 ,Tamil                                             ,2011-12,<=5,<=5
Oxford School District                                 ,Ukrainian                                         ,2011-12,<=5,<=5
Oxford School District                                 ,Urdu                                              ,2011-12,<=5,<=5
Oxford School District                                 ,Vietnamese                                        ,2011-12,<=5,<=5
Oxford School District                                 ,Mandarin                                          ,2011-12,6,<=5
Oxford School District                                 ,Persian                                           ,2011-12,<=5,<=5
Plainfield School District                             ,Spanish                                           ,2011-12,12,<=5
Plainfield School District                             ,Albanian                                          ,2011-12,7,<=5
Plainfield School District                             ,Arabic                                            ,2011-12,<=5,<=5
Plainfield School District                             ,Finnish                                           ,2011-12,<=5,<=5
Plainfield School District                             ,Gujarati                                          ,2011-12,<=5,<=5
Plainfield School District                             ,Hindi                                             ,2011-12,<=5,<=5
Plainfield School District                             ,Malay(Indonesian)                                 ,2011-12,<=5,<=5
