Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Boston-Cambridge-Quincy, MA-NH","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","San Diego-Carlsbad-San Marcos, CA","San Jose-Sunnyvale-Santa Clara, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Glendale, AZ","Orlando-Kissimmee-Sanford, FL","Sacramento--Arden-Arcade--Roseville, CA","Detroit-Warren-Livonia, MI","Tampa-St. Petersburg-Clearwater, FL","Las Vegas-Paradise, NV","Denver-Aurora-Broomfield, CO","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Towson, MD","Providence-New Bedford-Fall River, RI-MA","Austin-Round Rock-San Marcos, TX","Columbus, OH","Fresno, CA","San Antonio-New Braunfels, TX","Bridgeport-Stamford-Norwalk, CT","Stockton, CA","Charlotte-Gastonia-Rock Hill, NC-SC","Jacksonville, FL","Raleigh-Cary, NC","Honolulu, HI","Hartford-West Hartford-East Hartford, CT","El Paso, TX","St. Louis, MO-IL","Nashville-Davidson--Murfreesboro--Franklin, TN","Salt Lake City, UT","Kansas City, MO-KS","Cleveland-Elyria-Mentor, OH","Oxnard-Thousand Oaks-Ventura, CA","Bakersfield-Delano, CA","Cape Coral-Fort Myers, FL","Worcester, MA","Virginia Beach-Norfolk-Newport News, VA-NC","Indianapolis-Carmel, IN","Cincinnati-Middletown, OH-KY-IN",Non-CBSA,Other & Unknown
2011,Naturalization,Paraguay,289,93,9,44,-,3,15,5,D,5,6,D,4,4,5,3,D,3,6,D,-,D,5,D,D,4,-,-,-,-,5,5,-,D,D,-,-,-,-,-,-,D,4,-,-,-,D,-,D,-,-,5,43
2011,Naturalization,Peru,10266,1893,697,1956,164,407,601,163,145,157,182,87,64,114,59,87,28,70,238,33,11,200,78,67,44,45,39,26,23,10,45,109,20,85,65,34,13,84,5,22,24,95,15,28,22,15,63,10,29,29,30,61,1675
2011,Naturalization,Philippines,42520,3819,6614,432,2169,3027,818,237,858,571,217,439,919,1409,1732,1134,193,488,252,846,263,308,1465,89,197,400,84,160,73,225,218,99,403,60,364,102,1222,47,44,106,55,60,68,83,275,292,37,18,335,96,84,1172,7842
2011,Naturalization,Pitcairn Island,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2011,Naturalization,Poland,8844,2524,125,134,2853,60,63,135,34,39,42,189,70,13,44,32,27,66,28,13,125,103,33,64,35,32,34,14,12,-,13,136,D,8,20,19,9,344,D,11,8,9,8,52,3,D,14,53,14,9,11,52,1103
2011,Naturalization,Portugal,1426,516,15,50,6,26,24,106,3,4,4,35,7,8,6,24,-,3,4,D,-,4,D,D,D,3,251,-,D,D,D,30,4,D,D,4,-,32,-,3,-,D,-,-,-,D,6,16,D,D,D,8,203
2011,Naturalization,Qatar,101,8,3,4,D,D,6,D,5,8,3,D,D,D,-,D,D,D,D,-,5,3,-,-,D,D,-,D,3,-,-,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,-,-,D,-,-,D,27
2011,Naturalization,Romania,4314,462,255,195,473,96,64,76,67,67,185,66,163,60,33,57,18,175,28,90,205,26,52,36,120,17,6,28,17,7,13,34,D,27,24,12,7,16,D,11,29,7,5,113,5,-,12,6,9,13,13,41,771
2011,Naturalization,Russia,8257,1448,521,197,311,290,198,346,80,90,135,241,447,42,122,147,106,63,69,198,42,67,89,167,257,67,20,36,41,23,24,54,5,31,31,27,15,19,3,32,19,28,26,60,16,11,14,22,37,23,32,78,1790
2011,Naturalization,Rwanda,265,15,D,D,5,D,12,8,6,9,21,7,5,4,5,D,7,9,-,-,-,D,5,5,3,3,9,-,7,-,D,-,-,-,3,4,-,D,-,-,6,-,-,-,-,-,-,-,D,3,D,-,92
2011,Naturalization,Saint Kitts-Nevis,306,80,D,35,D,-,13,5,-,D,13,6,-,-,-,-,-,-,8,-,-,9,D,D,-,D,4,D,-,-,-,-,-,D,5,3,D,D,-,-,D,-,-,-,-,-,-,-,D,-,-,74,37
2011,Naturalization,Saint Lucia,600,218,9,41,3,D,11,10,22,4,20,8,-,-,D,-,-,3,15,D,D,16,D,D,-,7,D,D,D,-,D,6,-,D,6,D,D,22,-,-,-,-,-,D,-,-,-,D,7,-,-,63,87
2011,Naturalization,Saint Vincent and the Grenadines,416,233,D,23,D,D,11,13,3,4,9,10,D,-,3,-,D,4,7,D,D,4,D,D,D,3,-,-,-,-,D,-,-,D,3,D,-,-,-,-,-,-,D,-,-,3,-,-,5,-,-,12,50
2011,Naturalization,Samoa,172,-,23,-,D,D,-,-,-,D,D,D,21,D,3,-,-,3,-,D,-,D,3,D,D,-,-,-,-,-,-,-,D,-,-,-,27,-,-,-,-,24,5,-,D,-,D,-,-,-,-,6,39
2011,Naturalization,San Marino,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,Naturalization,Sao Tome and Principe,9,D,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2011,Naturalization,Saudi Arabia,814,78,43,16,56,15,42,19,43,33,14,13,9,13,12,8,10,11,7,5,52,9,8,7,6,9,-,7,10,3,3,-,D,6,5,D,-,3,-,4,3,3,9,9,-,7,D,D,D,3,3,D,187
2011,Naturalization,Senegal,752,189,8,13,13,11,58,12,12,5,34,18,13,4,5,-,5,D,D,-,12,-,5,7,4,6,39,6,26,-,-,-,D,7,3,11,D,D,D,7,3,-,7,3,-,-,-,D,6,14,29,4,142
2011,Naturalization,Serbia,85,5,-,6,57,-,3,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
2011,Naturalization,Serbia and Montenegro 1,2185,638,71,49,194,29,44,26,21,24,31,35,20,9,44,19,4,41,17,13,174,50,33,7,8,4,3,8,8,4,3,15,-,8,14,4,4,26,-,20,10,4,D,29,3,-,4,D,D,4,5,17,382
2011,Naturalization,Seychelles,19,D,D,-,-,D,-,D,D,D,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,2
2011,Naturalization,Sierra Leone,1831,269,34,4,21,14,445,62,34,37,69,166,20,13,6,14,55,20,4,10,21,11,4,11,D,39,8,3,69,D,D,-,D,21,10,16,-,D,D,9,3,D,3,5,-,-,-,4,5,10,6,7,259
2011,Naturalization,Singapore,311,26,29,D,4,26,6,5,15,12,9,5,18,5,11,14,4,3,-,3,D,3,13,5,4,3,-,5,D,-,-,D,-,D,D,D,4,-,-,D,-,D,D,D,-,-,-,D,-,-,D,4,53
2011,Naturalization,Slovakia,421,106,17,16,38,12,10,7,D,3,8,10,5,3,D,5,6,5,3,D,7,D,4,5,5,D,-,D,3,-,-,6,-,-,D,3,4,-,-,5,D,-,D,D,-,-,-,3,3,-,D,6,97
2011,Naturalization,Slovenia,57,6,3,3,6,D,-,D,D,D,D,D,D,-,-,D,D,3,D,-,D,-,D,-,-,D,D,-,-,-,-,-,-,D,-,D,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,13
2011,Naturalization,Solomon Islands,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-
2011,Naturalization,Somalia,7971,8,69,D,145,15,120,197,27,121,138,5,876,D,253,51,2228,184,D,10,3,-,23,75,131,19,D,8,828,3,17,D,-,13,D,18,-,10,-,36,131,117,93,21,-,D,-,10,3,23,28,57,1847
2011,Naturalization,South Africa,2566,178,146,154,89,38,47,71,67,94,146,59,54,24,60,26,27,34,45,19,16,41,18,35,27,24,6,26,11,5,16,24,D,30,12,27,6,D,-,7,15,9,13,17,6,4,4,8,4,12,11,54,694
2011,Naturalization,"Soviet Union, former",2812,617,192,68,126,126,77,56,34,27,37,56,65,7,48,59,30,20,24,46,43,25,15,37,87,30,9,6,14,4,D,17,-,13,12,15,D,21,-,8,4,12,10,21,4,-,10,4,7,10,6,26,622
2011,Naturalization,Spain,1253,214,58,162,30,45,50,40,21,22,24,18,21,8,24,18,5,19,11,3,4,15,8,9,6,5,5,6,4,D,6,7,D,5,5,D,D,4,D,5,3,6,5,D,3,6,D,D,8,4,5,21,292
2011,Naturalization,Sri Lanka,1334,231,203,8,34,22,117,46,21,39,21,17,12,27,11,16,17,12,20,8,17,15,30,D,8,5,5,20,14,4,5,D,3,D,6,10,4,D,D,D,3,D,4,-,15,D,-,4,4,D,9,4,247
2011,Naturalization,Sudan,2444,108,53,21,58,13,184,37,51,120,31,65,61,8,35,8,40,92,3,10,6,8,5,55,7,19,-,12,29,D,6,5,-,7,22,15,-,11,-,7,62,55,47,5,D,-,3,-,4,3,4,13,1034
2011,Naturalization,Suriname,194,69,D,36,4,D,D,3,D,-,4,D,-,-,D,-,D,-,15,-,D,D,-,-,-,3,-,D,-,-,-,-,-,-,D,D,-,-,-,-,-,-,D,-,-,-,D,-,-,-,D,D,38
2011,Naturalization,Swaziland,15,-,-,-,-,D,3,-,D,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,7
2011,Naturalization,Sweden,872,83,82,45,29,43,16,34,11,19,15,13,30,6,44,19,17,9,12,8,3,21,5,12,15,3,D,6,-,D,3,19,-,D,4,5,5,D,D,D,-,5,D,D,6,-,6,D,-,D,3,15,188
2011,Naturalization,Switzerland,427,47,37,17,10,16,14,11,8,5,6,8,9,5,22,6,D,7,4,D,D,8,D,4,5,7,-,4,4,-,-,3,D,D,-,D,D,D,D,D,4,3,3,D,-,-,D,-,D,3,-,20,103
2011,Naturalization,Syria,1981,254,369,28,134,24,24,69,45,24,21,26,15,80,18,4,6,29,16,8,74,22,7,9,14,15,15,5,7,13,8,8,4,9,54,4,D,5,D,10,7,D,6,40,6,10,D,9,3,11,8,5,392
