Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Santa Ana, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Boston-Cambridge-Quincy, MA-NH","Dallas-Fort Worth-Arlington, TX","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","San Jose-Sunnyvale-Santa Clara, CA","Sacramento--Arden-Arcade--Roseville, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Glendale, AZ","Orlando-Kissimmee-Sanford, FL","Tampa-St. Petersburg-Clearwater, FL","Detroit-Warren-Livonia, MI","Las Vegas-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Fresno, CA","Columbus, OH","Providence-New Bedford-Fall River, RI-MA","Stockton, CA","Austin-Round Rock-San Marcos, TX","Bridgeport-Stamford-Norwalk, CT","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Jacksonville, FL","Raleigh-Cary, NC","El Paso, TX","St. Louis, MO-IL","Hartford-West Hartford-East Hartford, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Honolulu, HI","Cape Coral-Fort Myers, FL","Salt Lake City, UT","Cleveland-Elyria-Mentor, OH","Worcester, MA","Naples-Marco Island, FL","Tucson, AZ","Virginia Beach-Norfolk-Newport News, VA-NC","Richmond, VA","San Juan-Caguas-Guaynabo, PR",Non-CBSA,Other & Unknown
2012,Naturalization,Paraguay,338,133,44,6,32,3,D,5,7,3,5,5,D,D,-,-,D,D,5,4,3,-,4,D,-,D,-,-,D,-,D,5,D,D,D,D,D,-,-,-,5,D,-,D,-,-,D,-,D,3,D,4,37
2012,Naturalization,Peru,11814,2529,2236,777,1155,175,203,350,158,122,186,89,80,90,134,92,57,46,44,249,188,23,77,28,59,57,13,21,26,18,32,101,35,79,56,39,13,16,112,21,18,15,51,100,30,17,48,12,30,21,31,77,1578
2012,Naturalization,Philippines,44958,4219,459,7038,1255,2301,1027,3079,219,576,233,470,950,1819,1392,1250,977,223,551,310,297,280,1313,218,110,333,220,65,78,525,122,115,230,60,391,83,45,85,64,104,71,1137,36,62,84,36,D,111,367,83,D,1216,8654
2012,Naturalization,Poland,8715,2834,113,130,91,2676,25,54,114,43,49,142,79,41,21,47,20,23,62,27,80,141,35,16,62,30,4,9,31,D,12,113,7,16,12,15,-,24,281,6,10,4,9,8,48,44,14,7,20,8,D,53,1002
2012,Naturalization,Portugal,1607,630,34,12,51,7,5,15,98,D,6,34,3,8,8,21,3,D,9,9,10,D,D,-,-,3,5,D,287,7,-,37,D,6,3,D,-,D,18,-,D,-,3,4,-,9,D,-,D,D,D,5,238
2012,Naturalization,Qatar,101,10,3,8,7,6,13,3,D,4,-,3,D,-,D,-,-,-,D,D,-,D,D,-,D,D,-,D,-,-,-,-,-,D,-,D,D,6,-,-,4,-,-,-,-,D,-,-,-,D,-,-,15
2012,Naturalization,Romania,4253,441,149,218,147,454,67,80,70,69,170,86,172,53,60,67,73,30,135,17,34,200,51,151,29,26,D,7,6,3,14,17,19,22,30,22,-,15,15,9,11,8,6,4,81,7,15,4,16,9,D,45,814
2012,Naturalization,Russia,8154,1445,197,473,268,288,122,252,261,54,123,214,386,109,35,142,328,131,69,82,63,58,63,294,132,67,31,33,25,D,33,36,14,51,48,30,3,45,27,18,31,11,20,30,52,13,7,22,26,27,D,95,1767
2012,Naturalization,Rwanda,285,10,-,D,10,7,12,D,5,21,11,D,4,D,3,D,D,7,10,-,-,-,D,D,13,4,-,3,D,-,5,-,-,D,D,D,-,D,D,7,4,D,-,D,D,3,-,D,-,5,-,D,112
2012,Naturalization,Saint Kitts-Nevis,319,88,30,-,7,D,5,-,5,D,10,D,-,D,-,-,-,-,D,11,11,D,D,-,-,10,-,D,D,-,-,-,D,4,5,D,-,-,-,D,-,-,-,D,-,-,-,-,4,-,4,64,41
