Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee-Sanford, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Denver-Aurora-Broomfield, CO","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","San Antonio-New Braunfels, TX","El Paso, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Indianapolis-Carmel, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Hartford-West Hartford-East Hartford, CT","Kansas City, MO-KS","Salt Lake City, UT","Raleigh-Cary, NC","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Buffalo-Niagara Falls, NY","Stockton, CA","Tucson, AZ","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Oxnard-Thousand Oaks-Ventura, CA",Non-CBSA,Other & Unknown
2012,Legal Permanent Resident,Suriname,187,104,3,19,3,-,4,D,D,D,3,-,D,D,D,D,-,-,8,-,-,D,D,D,-,-,-,D,-,D,D,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,25
2012,Legal Permanent Resident,Swaziland,24,5,D,-,D,-,-,-,D,D,D,-,4,-,-,-,D,-,D,D,-,-,D,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
2012,Legal Permanent Resident,Sweden,968,153,115,39,30,14,51,19,33,31,14,28,17,26,30,D,14,4,16,6,12,-,11,3,8,16,4,7,3,4,3,3,D,11,7,D,4,5,6,7,-,3,-,D,D,-,-,D,-,D,3,12,179
2012,Legal Permanent Resident,Switzerland,635,131,53,28,18,6,40,6,14,16,5,20,13,10,15,D,6,9,8,6,D,4,5,3,D,D,D,D,-,4,-,3,4,21,7,D,D,D,5,D,-,-,D,-,-,D,-,4,-,-,D,9,142
2012,Legal Permanent Resident,Syria,3014,297,414,46,73,285,41,68,63,45,30,91,46,20,19,143,50,188,22,D,20,14,25,10,8,25,7,9,D,7,20,-,37,8,11,11,4,20,8,15,-,13,86,21,42,9,6,14,3,-,27,7,575
2012,Legal Permanent Resident,Taiwan,5331,594,1310,38,154,110,363,157,142,123,58,70,46,403,198,155,42,23,27,34,34,32,26,43,34,49,24,10,15,5,22,37,3,17,27,13,12,18,20,42,D,30,4,7,9,10,5,5,8,D,27,27,666
2012,Legal Permanent Resident,Tajikistan,411,161,16,3,42,9,8,4,3,D,D,6,14,D,3,-,-,3,4,-,37,5,D,D,D,5,5,-,-,-,D,-,-,D,-,D,-,D,D,-,-,-,D,-,-,-,-,-,D,-,-,-,68
2012,Legal Permanent Resident,Tanzania,1516,62,18,8,62,27,15,111,60,35,57,38,15,5,14,7,28,4,17,24,27,7,4,21,-,14,10,28,-,10,27,-,9,-,5,23,D,26,21,6,-,5,3,18,17,35,D,5,-,-,6,7,572
2012,Legal Permanent Resident,Thailand,9459,261,649,123,224,180,197,299,293,153,286,174,88,56,249,66,184,37,36,518,163,117,71,29,51,146,69,87,3,44,7,53,29,6,89,73,72,107,147,45,-,39,54,37,54,263,13,24,29,-,18,144,3303
2012,Legal Permanent Resident,Togo,1756,349,8,3,233,53,7,11,18,23,107,4,48,3,17,6,12,D,D,103,23,D,18,19,-,3,D,3,D,14,15,-,6,4,11,5,25,6,9,16,-,13,5,D,3,4,-,12,-,-,-,30,496
2012,Legal Permanent Resident,Tonga,276,-,29,-,D,-,50,-,10,-,D,4,-,17,9,4,9,-,-,-,D,D,3,D,15,3,-,D,-,-,-,21,-,-,-,D,-,-,31,-,-,-,-,-,-,-,D,-,D,-,D,D,58
2012,Legal Permanent Resident,Trinidad and Tobago,5214,3086,40,419,174,18,11,121,36,129,96,4,105,D,6,D,9,8,99,15,5,8,48,113,D,3,7,5,D,24,6,3,17,15,6,6,14,D,5,10,-,D,13,D,9,7,D,D,-,D,D,27,471
2012,Legal Permanent Resident,Tunisia,422,58,20,23,32,10,18,7,D,8,4,3,28,4,4,D,4,9,19,7,D,4,15,4,D,D,D,7,-,D,D,D,-,D,6,-,D,4,-,D,-,5,D,-,D,-,-,-,-,-,-,4,96
2012,Legal Permanent Resident,Turkey,4162,1182,227,142,201,134,120,161,47,117,74,65,186,48,76,23,31,22,37,25,23,13,41,37,12,20,21,29,5,10,23,4,17,19,12,7,23,10,13,21,D,17,22,D,26,7,-,11,D,D,3,20,772
2012,Legal Permanent Resident,Turkmenistan,223,86,13,17,8,11,8,5,4,3,4,D,D,-,4,D,D,D,D,-,D,3,-,D,D,-,-,5,-,-,-,-,4,-,-,D,D,D,-,-,-,D,-,-,D,-,-,-,-,-,-,D,30
2012,Legal Permanent Resident,Turks and Caicos Islands,30,D,-,16,D,-,-,D,-,D,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
2012,Legal Permanent Resident,Tuvalu,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2012,Legal Permanent Resident,U.S. Virgin Islands,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,Legal Permanent Resident,Uganda,1340,53,70,6,100,52,19,30,45,276,33,12,17,-,32,6,14,10,D,29,21,4,8,25,3,7,12,5,-,7,18,-,10,D,5,14,3,3,3,17,D,D,D,15,7,3,-,D,-,-,3,25,309
2012,Legal Permanent Resident,Ukraine,7642,1841,258,135,201,780,115,59,50,114,113,59,323,77,373,30,29,172,35,58,62,41,29,56,289,159,23,23,4,31,37,9,13,90,13,6,58,16,18,33,-,29,29,8,114,24,D,5,6,D,9,70,1513
2012,Legal Permanent Resident,United Arab Emirates,854,114,49,13,55,48,16,60,37,14,22,12,17,24,24,12,8,38,10,12,3,D,3,16,4,6,8,D,D,4,4,-,D,D,D,9,4,8,D,3,D,D,D,3,17,D,D,D,D,-,6,6,147
2012,Legal Permanent Resident,United Kingdom,12014,1659,871,306,347,386,477,584,275,377,262,182,227,184,305,96,125,129,309,89,85,84,151,113,60,101,84,43,3,93,49,24,49,188,84,42,44,45,52,82,6,44,46,26,41,30,16,28,11,5,39,203,2853
2012,Legal Permanent Resident,United States,279,49,21,10,28,8,9,8,D,4,5,8,7,3,4,D,4,D,-,D,D,5,3,D,-,D,D,4,4,3,-,3,-,-,D,-,D,-,4,D,D,D,-,-,-,D,-,D,D,-,D,4,54
2012,Legal Permanent Resident,Uruguay,1374,344,39,410,28,10,7,23,7,8,102,6,5,D,5,D,D,-,25,D,D,12,11,5,D,4,D,D,D,10,D,D,D,23,6,-,6,-,17,4,4,3,4,48,7,D,-,D,D,5,-,7,155
2012,Legal Permanent Resident,Uzbekistan,4726,2903,112,45,51,33,53,9,23,27,41,43,208,13,25,-,15,22,44,17,33,4,4,99,58,23,5,-,-,25,14,6,4,10,3,56,8,4,4,6,-,18,9,D,11,13,D,3,-,-,D,20,598
2012,Legal Permanent Resident,Vanuatu,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,1
2012,Legal Permanent Resident,Venezuela,9387,631,116,4109,173,87,33,780,163,117,213,28,69,22,35,15,32,22,672,25,40,33,190,22,12,13,48,28,5,45,22,3,26,33,20,25,16,19,73,63,16,11,31,8,13,D,D,5,5,131,4,38,1043
2012,Legal Permanent Resident,Vietnam,28304,485,4529,275,915,403,1029,1749,1260,733,771,672,655,2159,1178,395,358,121,257,457,361,114,346,114,549,469,271,107,D,342,52,137,49,42,60,70,82,142,120,114,11,132,68,119,51,27,100,66,32,D,50,162,5532
2012,Legal Permanent Resident,Western Sahara,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2012,Legal Permanent Resident,Yemen,2620,982,5,4,18,69,179,10,6,D,12,D,13,D,19,11,5,463,-,23,14,D,-,9,7,26,D,D,-,3,9,-,-,D,D,13,9,D,D,11,-,4,D,D,D,95,23,5,34,-,-,24,496
2012,Legal Permanent Resident,Zambia,643,52,20,-,28,26,7,31,44,7,64,-,9,3,15,3,8,6,13,18,16,5,D,D,11,9,D,-,-,9,9,-,D,6,8,5,-,3,D,D,-,6,-,3,5,D,-,10,-,-,-,6,169
2012,Legal Permanent Resident,Zimbabwe,914,68,15,16,50,11,7,20,145,38,42,7,28,6,9,7,9,7,4,8,14,4,9,15,3,6,5,9,D,3,19,-,3,3,26,D,D,3,3,23,D,7,3,D,3,-,-,D,D,-,-,10,236
2012,Legal Permanent Resident,Unknown,1206,196,44,31,42,126,27,38,22,13,22,16,28,11,12,20,15,12,10,7,11,2,15,10,7,4,2,9,1,12,10,3,3,2,17,8,4,4,3,5,1,11,6,1,10,-,-,1,3,1,-,13,335
