Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee-Sanford, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Denver-Aurora-Broomfield, CO","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","San Antonio-New Braunfels, TX","El Paso, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Indianapolis-Carmel, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Hartford-West Hartford-East Hartford, CT","Kansas City, MO-KS","Salt Lake City, UT","Raleigh-Cary, NC","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Buffalo-Niagara Falls, NY","Stockton, CA","Tucson, AZ","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Oxnard-Thousand Oaks-Ventura, CA",Non-CBSA,Other & Unknown
2012,Legal Permanent Resident,Comoros,10,D,D,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,1
2012,Legal Permanent Resident,"Congo, Democratic Republic",3731,63,33,7,152,42,11,141,330,58,158,26,24,17,43,12,103,15,D,39,190,19,4,53,5,73,53,55,-,119,42,D,6,24,37,41,5,11,27,67,-,13,3,11,17,93,-,33,-,-,-,51,1397
2012,Legal Permanent Resident,"Congo, Republic",1461,65,13,4,72,26,12,62,131,23,73,25,13,D,25,6,31,8,5,10,37,5,D,21,8,15,4,3,-,67,13,-,-,16,13,6,-,D,10,57,-,13,D,D,D,23,D,8,4,-,-,31,493
2012,Legal Permanent Resident,Costa Rica,2020,577,58,184,43,18,14,46,32,24,48,11,42,7,20,23,18,3,55,11,17,14,43,5,12,7,9,7,D,39,6,D,4,22,-,12,3,5,D,6,D,3,7,D,4,8,D,D,D,8,3,22,508
2012,Legal Permanent Resident,Cote d'Ivoire,1760,563,26,6,169,23,15,29,60,30,99,11,83,D,29,3,11,9,5,40,17,D,7,34,5,D,6,4,-,17,6,-,26,3,18,4,4,D,3,5,-,6,D,7,13,5,D,13,D,-,-,5,329
2012,Legal Permanent Resident,Croatia,336,52,28,20,9,23,9,10,D,4,D,8,5,4,6,D,6,3,D,D,D,11,6,4,3,-,D,D,-,D,3,-,-,-,D,D,D,D,D,-,-,D,D,-,8,D,-,-,-,-,D,4,83
2012,Legal Permanent Resident,Cuba,32820,903,198,21906,41,100,55,573,167,44,172,49,31,D,19,28,208,3,593,20,23,683,2075,13,4,86,157,35,16,103,10,-,3,9,8,79,14,46,28,41,14,38,239,3,D,28,-,15,D,82,D,95,3757
2012,Legal Permanent Resident,Cyprus,107,25,6,4,4,D,D,D,D,4,D,-,5,-,4,D,D,D,-,-,-,D,3,D,-,-,D,-,-,D,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,32
2012,Legal Permanent Resident,Czech Republic,677,66,48,27,20,68,16,7,14,18,27,12,6,15,15,5,6,3,6,-,11,5,24,3,D,3,3,D,D,5,D,D,D,4,-,6,3,D,D,10,-,4,D,D,5,-,-,-,-,D,D,15,176
2012,Legal Permanent Resident,"Czechoslovakia, former",159,22,5,5,5,19,6,D,D,5,4,D,3,-,D,D,D,3,-,-,D,D,9,D,-,3,-,D,-,-,D,-,-,-,-,D,-,-,D,D,-,D,D,-,D,-,-,-,-,-,-,4,46
2012,Legal Permanent Resident,Denmark,459,87,44,13,17,9,33,16,7,7,13,13,3,17,21,D,D,-,D,5,D,D,6,4,4,D,D,-,-,3,D,D,D,3,D,D,-,4,3,9,-,D,D,-,D,-,-,-,-,-,4,5,88
2012,Legal Permanent Resident,Djibouti,106,-,D,D,4,D,-,-,4,5,D,5,-,D,10,D,3,-,D,24,D,-,-,D,-,D,-,-,-,-,8,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,26
2012,Legal Permanent Resident,Dominica,125,41,D,10,4,D,-,3,-,3,4,-,3,-,-,-,-,-,D,-,-,-,D,3,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,39,8
2012,Legal Permanent Resident,Dominican Republic,41566,25175,78,1856,352,92,23,104,49,3158,203,19,930,7,22,13,24,56,575,36,14,51,281,88,5,8,8,20,5,99,56,7,1037,258,63,20,177,13,7,65,4,17,40,192,29,14,D,D,D,2004,-,344,3863
2012,Legal Permanent Resident,East Timor,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2012,Legal Permanent Resident,Ecuador,9342,5182,264,773,201,276,37,120,40,86,70,17,87,5,21,32,31,12,134,94,14,28,82,33,6,4,11,10,4,152,18,6,41,275,4,10,33,10,17,21,3,6,3,22,7,-,4,D,D,22,5,39,967
2012,Legal Permanent Resident,Egypt,8988,3067,784,76,446,217,101,149,179,189,83,66,268,52,110,202,41,115,73,77,16,20,113,84,24,42,9,24,D,43,33,9,42,29,42,484,38,16,D,54,-,19,16,68,81,16,4,D,4,D,31,43,1283
2012,Legal Permanent Resident,El Salvador,16256,2188,3378,312,2725,115,679,1266,559,492,211,46,51,123,76,343,67,15,39,55,81,228,66,167,40,44,79,33,D,124,24,3,70,30,34,45,15,28,49,46,3,10,16,54,10,D,17,3,120,7,45,115,1902
2012,Legal Permanent Resident,Equatorial Guinea,20,D,-,D,D,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,3,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,5
2012,Legal Permanent Resident,Eritrea,2643,46,53,6,329,57,120,120,94,44,154,31,32,51,201,4,42,D,10,58,99,63,8,59,19,33,13,25,-,33,57,-,14,4,23,23,-,11,15,20,-,28,10,D,D,51,D,27,-,-,D,8,540
2012,Legal Permanent Resident,Estonia,227,47,11,21,7,12,5,-,4,D,3,3,D,3,3,D,D,3,8,3,5,-,3,D,3,D,-,D,-,-,D,3,D,3,D,D,-,D,-,3,D,-,D,-,-,-,-,-,-,-,D,D,53
2012,Legal Permanent Resident,Ethiopia,14544,243,328,25,2951,228,294,300,599,323,764,192,140,272,935,31,173,22,39,897,608,502,49,245,71,171,89,45,-,84,263,D,30,18,80,192,21,138,75,79,D,69,93,13,28,75,13,40,17,-,9,100,2566
2012,Legal Permanent Resident,Fiji,853,12,34,D,3,D,179,3,D,-,-,4,3,37,57,34,7,-,D,-,D,8,-,-,260,24,-,-,3,-,-,13,D,-,-,-,-,-,D,D,-,-,-,D,-,-,16,-,3,-,-,3,137
2012,Legal Permanent Resident,Finland,348,36,31,25,14,4,19,7,21,16,5,10,3,38,8,D,D,5,-,D,D,4,-,3,4,D,-,D,-,-,D,-,D,D,-,-,-,D,-,3,-,D,D,D,-,D,-,-,-,D,D,5,67
2012,Legal Permanent Resident,France,3862,847,340,281,158,114,223,92,71,116,93,76,70,101,111,12,26,33,39,29,26,32,21,29,11,24,31,7,4,12,10,8,17,35,10,5,12,11,6,18,D,12,9,11,7,D,D,6,7,6,D,38,598
2012,Legal Permanent Resident,French Polynesia,30,3,6,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,11
